pk,dim_year,dim_hour,dim_user,trip_count,duration_sum
b72c3d30-d559-400f-9548-cb38d6f6b2e3,2019,0,annual,17510,12344885
c39da87e-0aee-4025-bccc-b55f5fa31bf9,2019,0,casual,7193,10322748
306c695c-a196-40ad-94f5-68a8551990b7,2019,1,annual,10543,7413209
972e37b5-6cf6-4e00-ad90-68e2c29e08c8,2019,1,casual,4796,13135848
e98e6b8c-f17c-4193-8140-1899f20de6dc,2019,2,annual,7469,5701205
812c2f85-bb68-47ad-a954-75febdd3b27e,2019,2,casual,3589,10173729
5f6eb1d5-453f-4c8b-a4c2-e35754f35dcd,2019,3,annual,3543,3127802
052eb25d-d747-4ee5-9bbf-134163b5ea27,2019,3,casual,1766,7779303
95271369-368b-4a2f-9c83-5e22eb0056d8,2019,4,annual,3216,4609362
9edfcc65-b280-42e1-8f60-d83dfaa36df2,2019,4,casual,863,1389300
c03c2b30-5c89-433c-a87d-c6b2a04be176,2019,5,annual,8986,6043879
cba38399-ea82-4793-9d61-02e372c1c736,2019,5,casual,860,1528162
02a26dd2-dbfb-4b53-9b28-fb683f880a84,2019,6,annual,28028,21218382
1b4a6e92-2325-48a4-bfc8-48fff4ea4c7b,2019,6,casual,1904,3081935
c98be195-5fe7-4d11-bb57-4d9271385aed,2019,7,annual,74671,54408698
20df4800-7a47-4dcc-bd30-913ff7d9d56c,2019,7,casual,4822,7440234
feebe17c-5949-4018-b676-1bc48097bd78,2019,8,annual,198213,147190080
4179dfd4-09ad-468e-a978-fa1dd084dcdd,2019,8,casual,12281,17784529
0535d079-2122-4a31-8d7f-a251ea3dcd7e,2019,9,annual,134855,98729472
0df98c5a-6a97-4588-b176-3121c8a54a1c,2019,9,casual,14625,24176778
b22c806f-0190-414f-a2a4-5c9397c827de,2019,10,annual,70978,55978858
5f3f8e13-6dd2-4343-bf5c-b32546773a26,2019,10,casual,20232,36326993
95936c9a-e535-4ed0-b68e-4b38ae4ff522,2019,11,annual,73875,51439476
db43e519-3275-4135-8fa7-352a3bf599b1,2019,11,casual,30383,58719231
a445f34b-022d-4ed8-98f3-39a366be9968,2019,12,annual,90079,67583019
49d48d3b-dcb3-4451-ac02-11dd8a63a5b0,2019,12,casual,38492,74387187
fe335f8c-8df1-4d48-ba35-daf4a3f41878,2019,13,annual,86653,59887341
818b17a1-cbd7-44dc-b17b-3705d77c902a,2019,13,casual,43563,85854242
002c3eab-8b5f-4a70-ac14-a0e7e050e7fb,2019,14,annual,82871,59972665
c3745e77-eb86-4437-b048-cceb9a6dc3cc,2019,14,casual,47984,94742232
d9c8ddec-09b6-46ef-be18-f13c0b3f5a30,2019,15,annual,96039,71130229
52c505ca-ba1d-484f-8395-8e7155ff93a3,2019,15,casual,50879,95887965
1d2881ca-450f-42d0-83f9-9b1dbb3091b2,2019,16,annual,149957,110881914
f83a2aa1-32ca-4dc6-a686-ff146ac3bd70,2019,16,casual,53264,106808397
4a3002d6-2c87-465c-8257-b2502f2ba69f,2019,17,annual,229261,192938492
3f8e5c8b-9d48-4d86-a98d-4da225524520,2019,17,casual,58542,104028830
cd01f718-abb1-4997-a5cf-634df5659c64,2019,18,annual,165253,128735808
8dfb24d7-8b46-4423-9c91-d4c730982b42,2019,18,casual,52154,107675030
c3006a86-b451-4744-9de9-86523c3e1ddd,2019,19,annual,112201,86153607
355615d3-7091-45ec-a2a7-1b8508e43c71,2019,19,casual,44071,110453717
d58d2ca3-7285-47a1-bab2-b79d117582b6,2019,20,annual,81412,64007894
7be5e5a2-2105-4fb3-9b59-33b10de56de6,2019,20,casual,34183,66942431
a2dbcdac-56d9-4a00-8d91-ec9d35bf7b1b,2019,21,annual,60136,46583968
9a6f99fd-ee33-410b-a66b-2e6d01c9f2ba,2019,21,casual,23156,41666849
8a10263c-3aa9-4eae-95a8-d94e271a530e,2019,22,annual,43292,32295990
8e2edf56-09fd-4184-86a3-a78b0e5d8c45,2019,22,casual,17462,26423540
a81ed4fe-2579-4e01-b180-46e7ec846c98,2019,23,annual,29897,25317054
cf671372-bd3e-4254-bcf2-206bd51c133a,2019,23,casual,13005,24361504
442e02b0-b9a1-4b44-a221-a905f552b33d,2020,0,annual,18855,14435457
47333451-a9cd-4512-87b8-3f2bf6a077c3,2020,0,casual,17337,33151982
d0d24ce1-14dc-45ea-ad6b-80ca8cf8b237,2020,1,annual,11122,11134560
b9876b98-d225-47d7-a380-932a8d71b4bb,2020,1,casual,11058,20777416
04006a54-0523-45ae-9ed7-4d08b895f8f8,2020,2,annual,6782,7753297
1e4c749b-57af-466c-a022-45fed04e608e,2020,2,casual,6713,20608239
4f5f67c5-9def-40d6-81b5-a37637223bc6,2020,3,annual,3874,3201118
a951d121-01ed-4d15-b3c2-c30115b3825a,2020,3,casual,3515,7270887
8087c7a3-0c5f-4931-b4c6-8c064d218304,2020,4,annual,3678,2654631
a73e4c8a-e66e-4b0b-9a56-b66e5b915901,2020,4,casual,2195,4232230
bdd23898-eb88-41b9-af93-626224939ac3,2020,5,annual,7990,5708275
f3697ab9-98ee-4db3-b9cb-1929f5ecc37f,2020,5,casual,2191,3826502
85748939-ba1c-4c7b-b0b5-a0024f90d239,2020,6,annual,26469,19598507
f4cea12b-746f-4bbc-94db-d961d03e4861,2020,6,casual,4672,7782263
dc07b096-398c-48c8-ba8f-7932bc2e5c60,2020,7,annual,60232,46384271
422c36c8-3398-46cf-8d91-2c61110732b0,2020,7,casual,9233,13735707
9062bfab-f853-444b-b7f7-71062447a1c0,2020,8,annual,98936,75768474
f1e513eb-8943-4e5a-8da2-bcc190e510d3,2020,8,casual,15602,22702955
f086c482-ef74-41e4-b22b-8af3b4e6da4a,2020,9,annual,82759,62343229
9a35f924-09ed-4fda-aa79-abeea93f1fe6,2020,9,casual,20015,32589676
63eea8ae-c2c3-4db7-a900-fdc790c723b9,2020,10,annual,76802,61018917
fc826016-379c-4343-915c-c4e300b17c26,2020,10,casual,29014,54556208
16f7e8ca-63bb-4228-8faf-87593608feee,2020,11,annual,88879,68273144
bdb700de-cdec-4490-90b7-3dd1313df5eb,2020,11,casual,41938,76654995
1074fe29-915f-4dd1-876c-973812f4291f,2020,12,annual,111025,86459344
2e1c39c5-f4ac-4d5a-9298-b6ecb9251039,2020,12,casual,55754,107573326
7da4b7d2-1d58-469f-a54e-7335e271e589,2020,13,annual,116082,92096848
dc162176-7b8c-4f2d-95cf-4c887d4c40a3,2020,13,casual,68160,127447774
f4272654-b075-4d99-b42f-1516a41cf96b,2020,14,annual,116904,95802073
6588c38b-6be6-40a1-a208-c1ab3867168e,2020,14,casual,79667,153500902
b1d3420b-252d-4dc1-b361-4722158c1391,2020,15,annual,127461,104874085
40f39e08-090e-4e1e-9a11-fc96415dab20,2020,15,casual,86403,159807751
8680518f-87ff-4735-8c1e-6c0e2af01043,2020,16,annual,150549,125455358
f45c7726-dcfc-414f-87f9-b063cde0dd3f,2020,16,casual,91879,167397768
e93eaec6-1244-4971-bf1c-c4f87813315a,2020,17,annual,190748,155794776
753b78f5-1a6c-44c7-be9f-253e83ce6c02,2020,17,casual,101127,176692824
0c1fd660-b2c6-48f7-8fff-4712e0fdb5e9,2020,18,annual,174076,143943847
948be757-8f2d-43c4-8b61-78154cd719a4,2020,18,casual,102407,184682906
040fd8ce-1951-4ed7-aa7c-c7a0f014b38a,2020,19,annual,143140,119588884
1c133849-d3b1-4c91-be68-ab5a8c9a2c77,2020,19,casual,95718,164463009
c433f8f0-dc73-4333-98a0-ccc0eeb650a9,2020,20,annual,104570,87543253
d28c57af-1ddb-4d8f-8f73-7400d546bea1,2020,20,casual,76965,129820885
