pk,dim_year,dim_month,dim_user,trip_count,duration_sum
a42a18ba-586e-4602-8f97-5d16f7ebabb6,2022,7,annual,313048,231661048
64f5fe38-c470-4563-8ef9-ff7f041de0ec,2020,12,annual,72942,51025910
47a331c3-593d-4e9c-860e-170dbb4d2ac2,2020,10,casual,70902,100367706
4f6720ab-e0af-4855-b3a9-71a85aed1d64,2021,3,casual,35073,62093116
722209f5-a6ce-43f0-a600-ccb28102ba85,2019,7,annual,260420,202259026
e6292359-01db-4ce5-8245-d3ccdfd1b10f,2021,5,annual,239900,209102096
d8a7dd7b-b66c-488c-ae02-a4e9c3e93337,2019,11,annual,127842,91574325
79114eec-83b4-475c-9228-d24725cecb83,2021,12,casual,37619,40584618
34a4fb55-d011-4143-a679-1d138950d4e4,2022,1,annual,40334,28020159
e3a1036d-0f8f-4893-8529-1929821a2fa0,2021,10,annual,133789,92821558
1c2bac95-a2f6-4512-bae6-3db9d3057aac,2022,12,casual,123558,101825077
99f8c397-8326-453e-88f8-19c8c5bc6ed8,2020,8,casual,200750,337282109
a0614f44-6e03-423b-a479-31c93fc95349,2020,10,annual,206798,152697256
1eccf559-4199-43a5-bcc7-3eeb5e9fb35a,2019,12,annual,77544,57488639
3486fa26-8d50-466a-a856-a6e0b6e3d253,2020,5,casual,95147,232849254
9fa8b16b-5b7f-43c5-b4ae-e9879b1603b8,2022,12,annual,56240,35644852
8b21f2e2-6115-4e60-876f-abfac23e9b52,2021,8,annual,305916,232087818
7acdfbf5-99df-4ab4-98ba-fbd78835ac4c,2019,10,annual,208760,149839065
430875c7-e812-4bf8-91ae-b94ae5f508de,2020,3,annual,87905,69892732
0f254918-618e-4b35-a355-70a55501408f,2022,10,annual,164428,110816886
55a2a1cc-7478-4a0d-a6c7-496ecc197b6f,2022,3,casual,58621,68096401
2a80d81c-01a0-427c-b8a5-1227b3eeb1ae,2022,9,annual,218216,156629685
386e191b-c544-45b5-9cf6-5daed52cd2c0,2020,11,casual,59478,82557601
426ef4f2-692a-4485-9011-828b34930320,2020,12,casual,21991,21961528
10356ba8-0fca-4546-abba-7660ae6c60a6,2021,7,annual,291661,229077945
a611e2f9-c34a-4634-8550-7a616a105720,2020,5,annual,100911,97100588
b567248d-c92c-4754-9fee-57917e352508,2021,6,casual,155185,282633414
9dfbbd49-39a4-4bed-88a1-6891b0505d10,2021,10,casual,232815,228460678
1e8c369a-85bc-4fa8-be2d-945886652243,2020,7,annual,258612,220719766
8e0153b6-6c17-46fc-acfe-030900a0b4ab,2019,8,annual,262613,203003166
c51d41c4-e115-42c7-b5bb-54ccad995798,2019,11,casual,9422,39196996
fbfbee32-075e-4beb-97a1-a0254c3b6f65,2019,4,casual,21220,38188696
00fba03c-e7d6-46eb-b6c2-ba49d7f56561,2020,9,annual,281946,218034339
3beb96cc-91f3-4074-8f45-3dccec9e71bc,2022,5,casual,345047,411193765
611405e4-e2cf-457f-a76f-79d2876919b3,2022,1,casual,16219,22823085
99ffb4e5-7aa2-4827-ab33-68f8b6d29892,2020,4,casual,19331,47066595
bffb08f2-f522-4f5b-bfe2-9ee2884ac9ed,2019,3,casual,5343,10632203
1b601fe7-1a76-4899-a4df-a49cdf52cd0e,2019,2,annual,38968,31185542
e8d09bda-205d-464c-80df-d8e93b706b1c,2020,8,annual,293326,238884165
cb3f3f36-28bd-48d1-b691-c0fa9d72b340,2020,2,annual,85679,62162958
83eef715-8961-46e4-909b-27a51f5c9823,2022,8,casual,412775,500861192
025da777-21da-44ad-b15c-033c58076ee6,2019,6,annual,200542,165499850
3c4b362f-3378-4f56-8719-a9e408fe157d,2022,2,casual,20426,20778318
0ace54da-6fcd-4333-b735-2fac5f406e6f,2021,8,casual,190337,279728779
dff071a3-9769-472a-9df7-81b1804e8901,2021,2,annual,52988,38968671
922fab28-6651-4bbe-b1ae-c22df6225f91,2019,12,casual,4704,15497777
c5dad626-4730-4201-93f0-fb316ea0e700,2019,1,casual,1942,5121502
d2ae0ecc-0009-4144-bc2c-bf4e8c8dc1ee,2021,2,casual,5795,9123505
5558d78f-7ef6-4954-a59b-62fa4652fcfc,2019,6,casual,91372,177078169
9a0906c4-cc78-4918-9721-76e1b6b44765,2021,9,annual,287583,210452829
fffc00e6-b8a3-4592-ab1e-e086956815be,2020,4,annual,52403,48519510
0cf5f4ab-8fdd-4eb6-8934-93205288ac66,2022,6,casual,471148,517700086
a9acd55e-4c35-4132-886a-f604f442d4d8,2022,4,annual,117426,78417100
63513098-38a0-4482-b888-29ddb19eb825,2020,11,annual,143362,105345195
df06fc78-ed54-45dc-8ea8-b7dd376b3a12,2021,3,annual,122065,95139076
73d77ef9-2e38-4373-9b5b-e439b5432620,2022,2,annual,46487,30998415
894b1546-ea8d-47c1-ab5e-acca94a7a644,2022,7,casual,366572,477046570
0e643bc2-f267-4304-ae34-1bbefabe762d,2022,8,annual,291638,213417850
0a553163-93f8-41ee-84f0-f68043baab3f,2021,7,casual,171269,265921829
573d5479-6235-4264-b2e7-0d55c599006b,2020,6,casual,180655,380345043
37f553bc-d973-4e03-b084-f63e8a689bab,2020,1,casual,4579,9914383
cd7e7c74-a22b-4817-998c-ee580886983b,2019,8,casual,154771,291559796
364ab925-3bb1-4fb8-8a46-e513b8df771f,2021,4,annual,150506,122624577
3b86ce2f-8b21-4035-b7f7-dae68d3d0c0a,2020,2,casual,9450,15716729
1e93c0b2-cf15-484c-b29d-5d938a3e774a,2019,5,annual,164622,122881751
eccdc332-b2e1-4432-a019-74b9fc9671e8,2020,9,casual,158555,238683204
a592b8e2-22ff-4f97-b802-4f8230b88742,2019,3,annual,82197,58706263
70e79825-7389-4987-a3ee-32a7e524f569,2022,11,casual,215441,193711381
50d982f9-4c38-4de3-a4c9-8abef5b703e8,2022,6,annual,134010,95907133
1e432de1-1dad-4894-b3e4-825de17af88d,2021,4,casual,73515,136443547
78532829-35e1-4cd3-bd49-6a7cecaedf53,2021,12,annual,108041,69789182
c1031b5b-8c70-4455-a229-ddbb60705509,2019,10,casual,39705,90298623
beedf3d2-0d62-4772-9943-2a3278fe55b8,2019,1,annual,59517,42683850
47870607-afc3-4fa4-aec3-1e46bd287695,2022,11,annual,104413,70465174
9c26a344-b431-4df0-a5a6-5dc9a2bfdc48,2022,3,annual,93215,59713098
90ae3147-d835-4b59-a676-8d3cf3330827,2021,1,casual,24705,23981567
eb4b6c2a-0334-4e14-b79a-ad52879c86ec,2021,1,annual,61125,43423284
1b1ac64d-85e2-4bc0-82d1-f7a20a4fdf40,2019,2,casual,1087,3457568
bb339948-ac6b-40eb-939e-b7daddb9b1ba,2021,9,casual,166563,233393022
2d1eda78-d6be-47b8-ac14-501c75bdadfc,2021,11,casual,154874,136044676
f7c5b090-8d1e-4645-9484-933080ee1055,2020,6,annual,189615,180476066
ddb03c10-d674-4a05-9d11-ad6c3dad2128,2022,10,casual,334788,315606443
57d3b8c3-1864-4366-bd34-9b7a765dc441,2021,5,casual,183611,356151662
7a0f687c-d061-4d9a-a7d4-e13a33b4a6a7,2019,7,casual,121812,229342859
1f1f5be0-c513-47d3-8cd5-e399c68665c3,2019,5,casual,49984,92062049
36799a3b-51ae-4135-a087-ef8c24475cec,2021,11,annual,87767,57853229
20a1a247-f1bd-40b2-9011-e78c6079b0f4,2022,5,annual,159526,116231725
da4541a0-eb81-49f2-a1e1-c4e2dbb41c56,2019,9,casual,78707,138654476
bf056b7e-4803-4011-9a8c-8479360c8870,2022,4,casual,128346,150069142
3a838528-b8f0-4704-b442-42561dc80be0,2019,4,annual,123927,96404307
09c9daf0-84b8-4d11-b84f-bb8811f2abf4,2020,7,casual,200010,368202741
8b2835d7-f49c-4446-b8e0-f11eac33dff0,2019,9,annual,251986,192167505
39d0293f-91ed-4a7d-8f92-028519b2f960,2020,3,casual,17073,36524148
e61a306c-3394-4c88-a46a-5313739cd81d,2021,6,annual,296841,246201399
6f0f0144-b83e-45aa-8fce-ec8e2b38b2f4,2020,1,annual,97481,67696873
259fe87b-ee0b-4b90-b5e4-c0b8badb6de9,2022,9,casual,383916,432019759
