dim_year,dim_month,dim_hour,dim_user,trip_count,duration_sum,duration_avg
2019,1,0,Annual Member,389,260795,670.42
2019,1,0,Casual Member,15,12878,858.53
2019,1,1,Annual Member,290,160137,552.20
2019,1,1,Casual Member,19,21876,1151.37
2019,1,2,Annual Member,190,107971,568.27
2019,1,2,Casual Member,14,14083,1005.93
2019,1,3,Annual Member,105,59254,564.32
2019,1,3,Casual Member,10,9630,963.00
2019,1,4,Annual Member,83,58912,709.78
2019,1,4,Casual Member,6,7356,1226.00
2019,1,5,Annual Member,279,385312,1381.05
2019,1,5,Casual Member,6,146138,24356.33
2019,1,6,Annual Member,938,558512,595.43
2019,1,6,Casual Member,4,4100,1025.00
2019,1,7,Annual Member,2448,2033319,830.60
2019,1,7,Casual Member,21,20224,963.05
2019,1,8,Annual Member,7118,5041984,708.34
2019,1,8,Casual Member,70,66138,944.83
2019,1,9,Annual Member,5080,4438260,873.67
2019,1,9,Casual Member,81,93520,1154.57
2019,1,10,Annual Member,2530,2682026,1060.09
2019,1,10,Casual Member,76,177039,2329.46
2019,1,11,Annual Member,2565,1442329,562.31
2019,1,11,Casual Member,130,164226,1263.28
2019,1,12,Annual Member,2977,1653829,555.54
2019,1,12,Casual Member,156,188786,1210.17
2019,1,13,Annual Member,2865,1764302,615.81
2019,1,13,Casual Member,180,1118508,6213.93
2019,1,14,Annual Member,2567,1461938,569.51
2019,1,14,Casual Member,180,224256,1245.87
2019,1,15,Annual Member,3144,1827077,581.13
2019,1,15,Casual Member,204,405151,1986.03
2019,1,16,Annual Member,5165,3489806,675.66
2019,1,16,Casual Member,176,236209,1342.10
2019,1,17,Annual Member,7660,6019396,785.82
2019,1,17,Casual Member,227,309613,1363.93
2019,1,18,Annual Member,4740,3483419,734.90
2019,1,18,Casual Member,123,1560715,12688.74
2019,1,19,Annual Member,2933,2066936,704.72
2019,1,19,Casual Member,84,108001,1285.73
2019,1,20,Annual Member,2149,1319951,614.22
2019,1,20,Casual Member,47,102718,2185.49
2019,1,21,Annual Member,1603,962452,600.41
2019,1,21,Casual Member,48,74735,1556.98
2019,1,22,Annual Member,1007,544784,541.00
2019,1,22,Casual Member,40,30716,767.90
2019,1,23,Annual Member,692,861149,1244.43
2019,1,23,Casual Member,25,24886,995.44
2019,2,0,Annual Member,307,167630,546.03
2019,2,0,Casual Member,7,4971,710.14
2019,2,1,Annual Member,203,162408,800.04
2019,2,1,Casual Member,2,1557,778.50
2019,2,2,Annual Member,141,74658,529.49
2019,2,2,Casual Member,2,2679,1339.50
2019,2,3,Annual Member,59,35811,606.97
2019,2,3,Casual Member,2,1702,851.00
2019,2,4,Annual Member,65,50415,775.62
2019,2,4,Casual Member,3,2436,812.00
2019,2,5,Annual Member,229,124269,542.66
2019,2,5,Casual Member,2,590,295.00
2019,2,6,Annual Member,663,2965031,4472.14
2019,2,6,Casual Member,13,25937,1995.15
2019,2,7,Annual Member,1502,1055511,702.74
2019,2,7,Casual Member,11,11410,1037.27
2019,2,8,Annual Member,4008,3021449,753.85
2019,2,8,Casual Member,50,774408,15488.16
2019,2,9,Annual Member,3124,2430387,777.97
2019,2,9,Casual Member,45,38320,851.56
2019,2,10,Annual Member,1660,995990,599.99
2019,2,10,Casual Member,32,31497,984.28
2019,2,11,Annual Member,1706,1298665,761.23
2019,2,11,Casual Member,53,73910,1394.53
2019,2,12,Annual Member,2046,1232971,602.63
2019,2,12,Casual Member,84,220917,2629.96
2019,2,13,Annual Member,2054,1173627,571.39
2019,2,13,Casual Member,90,136904,1521.16
2019,2,14,Annual Member,1813,1391134,767.31
2019,2,14,Casual Member,91,96348,1058.77
2019,2,15,Annual Member,2295,1543486,672.54
2019,2,15,Casual Member,82,94778,1155.83
2019,2,16,Annual Member,3349,2165342,646.56
2019,2,16,Casual Member,91,896758,9854.48
2019,2,17,Annual Member,4806,4145062,862.48
2019,2,17,Casual Member,131,163756,1250.05
2019,2,18,Annual Member,3273,2905789,887.81
2019,2,18,Casual Member,122,224873,1843.22
2019,2,19,Annual Member,1961,1249531,637.19
2019,2,19,Casual Member,59,121217,2054.53
2019,2,20,Annual Member,1402,1069369,762.75
2019,2,20,Casual Member,46,153397,3334.72
2019,2,21,Annual Member,1006,707539,703.32
2019,2,21,Casual Member,37,39386,1064.49
2019,2,22,Annual Member,769,441518,574.15
2019,2,22,Casual Member,24,330280,13761.67
2019,2,23,Annual Member,527,777950,1476.19
2019,2,23,Casual Member,8,9537,1192.13
2019,3,0,Annual Member,615,364831,593.22
2019,3,0,Casual Member,46,43592,947.65
2019,3,1,Annual Member,346,171556,495.83
2019,3,1,Casual Member,31,511523,16500.74
2019,3,2,Annual Member,260,141854,545.59
2019,3,2,Casual Member,25,26141,1045.64
2019,3,3,Annual Member,107,88497,827.07
2019,3,3,Casual Member,6,8488,1414.67
2019,3,4,Annual Member,114,78157,685.59
2019,3,4,Casual Member,3,4579,1526.33
2019,3,5,Annual Member,372,258595,695.15
2019,3,5,Casual Member,6,3651,608.50
2019,3,6,Annual Member,1208,658433,545.06
2019,3,6,Casual Member,16,23135,1445.94
2019,3,7,Annual Member,3387,2193440,647.61
2019,3,7,Casual Member,46,52210,1135.00
2019,3,8,Annual Member,9201,6653100,723.08
2019,3,8,Casual Member,133,156160,1174.14
2019,3,9,Annual Member,6723,4529632,673.75
2019,3,9,Casual Member,159,190507,1198.16
2019,3,10,Annual Member,3453,2573058,745.17
2019,3,10,Casual Member,181,229519,1268.06
2019,3,11,Annual Member,3370,2023580,600.47
2019,3,11,Casual Member,252,1477617,5863.56
2019,3,12,Annual Member,3852,2348758,609.75
2019,3,12,Casual Member,336,471707,1403.89
2019,3,13,Annual Member,3814,2291940,600.93
2019,3,13,Casual Member,390,662043,1697.55
2019,3,14,Annual Member,3652,2855751,781.97
2019,3,14,Casual Member,473,777475,1643.71
2019,3,15,Annual Member,4226,3269723,773.72
2019,3,15,Casual Member,526,1164020,2212.97
2019,3,16,Annual Member,6806,4658298,684.44
2019,3,16,Casual Member,616,1430242,2321.82
2019,3,17,Annual Member,10642,7937164,745.83
2019,3,17,Casual Member,713,1390515,1950.23
2019,3,18,Annual Member,7418,5386722,726.17
2019,3,18,Casual Member,503,793119,1576.78
2019,3,19,Annual Member,4672,3346476,716.28
2019,3,19,Casual Member,347,591405,1704.34
2019,3,20,Annual Member,3015,3676096,1219.27
2019,3,20,Casual Member,162,227228,1402.64
2019,3,21,Annual Member,2250,1474081,655.15
2019,3,21,Casual Member,146,140943,965.36
2019,3,22,Annual Member,1662,1117026,672.10
2019,3,22,Casual Member,143,172076,1203.33
2019,3,23,Annual Member,1032,609495,590.60
2019,3,23,Casual Member,84,84308,1003.67
2019,4,0,Annual Member,942,590424,626.78
2019,4,0,Casual Member,215,323006,1502.35
2019,4,1,Annual Member,605,533075,881.12
2019,4,1,Casual Member,142,941721,6631.84
2019,4,2,Annual Member,470,350305,745.33
