dim_year,dim_hour,dim_user,trip_count,duration_sum
2019,0,Annual Member,17510,12344885
2019,0,Casual Member,7193,10322748
2019,1,Annual Member,10543,7413209
2019,1,Casual Member,4796,13135848
2019,2,Annual Member,7469,5701205
2019,2,Casual Member,3589,10173729
2019,3,Annual Member,3543,3127802
2019,3,Casual Member,1766,7779303
2019,4,Annual Member,3216,4609362
2019,4,Casual Member,863,1389300
2019,5,Annual Member,8986,6043879
2019,5,Casual Member,860,1528162
2019,6,Annual Member,28028,21218382
2019,6,Casual Member,1904,3081935
2019,7,Annual Member,74671,54408698
2019,7,Casual Member,4822,7440234
2019,8,Annual Member,198213,147190080
2019,8,Casual Member,12281,17784529
2019,9,Annual Member,134855,98729472
2019,9,Casual Member,14625,24176778
2019,10,Annual Member,70978,55978858
2019,10,Casual Member,20232,36326993
2019,11,Annual Member,73875,51439476
2019,11,Casual Member,30383,58719231
2019,12,Annual Member,90079,67583019
2019,12,Casual Member,38492,74387187
2019,13,Annual Member,86653,59887341
2019,13,Casual Member,43563,85854242
2019,14,Annual Member,82871,59972665
2019,14,Casual Member,47984,94742232
2019,15,Annual Member,96039,71130229
2019,15,Casual Member,50879,95887965
2019,16,Annual Member,149957,110881914
2019,16,Casual Member,53264,106808397
2019,17,Annual Member,229261,192938492
2019,17,Casual Member,58542,104028830
2019,18,Annual Member,165253,128735808
2019,18,Casual Member,52154,107675030
2019,19,Annual Member,112201,86153607
2019,19,Casual Member,44071,110453717
2019,20,Annual Member,81412,64007894
2019,20,Casual Member,34183,66942431
2019,21,Annual Member,60136,46583968
2019,21,Casual Member,23156,41666849
2019,22,Annual Member,43292,32295990
2019,22,Casual Member,17462,26423540
2019,23,Annual Member,29897,25317054
2019,23,Casual Member,13005,24361504
2020,0,Annual Member,18855,14435457
2020,0,Casual Member,17337,33151982
2020,1,Annual Member,11122,11134560
2020,1,Casual Member,11058,20777416
2020,2,Annual Member,6782,7753297
2020,2,Casual Member,6713,20608239
2020,3,Annual Member,3874,3201118
2020,3,Casual Member,3515,7270887
2020,4,Annual Member,3678,2654631
2020,4,Casual Member,2195,4232230
2020,5,Annual Member,7990,5708275
2020,5,Casual Member,2191,3826502
2020,6,Annual Member,26469,19598507
2020,6,Casual Member,4672,7782263
2020,7,Annual Member,60232,46384271
2020,7,Casual Member,9233,13735707
2020,8,Annual Member,98936,75768474
2020,8,Casual Member,15602,22702955
2020,9,Annual Member,82759,62343229
2020,9,Casual Member,20015,32589676
2020,10,Annual Member,76802,61018917
2020,10,Casual Member,29014,54556208
2020,11,Annual Member,88879,68273144
2020,11,Casual Member,41938,76654995
2020,12,Annual Member,111025,86459344
2020,12,Casual Member,55754,107573326
2020,13,Annual Member,116082,92096848
2020,13,Casual Member,68160,127447774
2020,14,Annual Member,116904,95802073
2020,14,Casual Member,79667,153500902
2020,15,Annual Member,127461,104874085
2020,15,Casual Member,86403,159807751
2020,16,Annual Member,150549,125455358
2020,16,Casual Member,91879,167397768
2020,17,Annual Member,190748,155794776
2020,17,Casual Member,101127,176692824
2020,18,Annual Member,174076,143943847
2020,18,Casual Member,102407,184682906
2020,19,Annual Member,143140,119588884
2020,19,Casual Member,95718,164463009
2020,20,Annual Member,104570,87543253
2020,20,Casual Member,76965,129820885
2020,21,Annual Member,70311,58985372
2020,21,Casual Member,54186,93519626
2020,22,Annual Member,47766,38854341
2020,22,Casual Member,36653,63173067
2020,23,Annual Member,31970,24883297
2020,23,Casual Member,25519,45502143
2021,0,Annual Member,25494,18823381
2021,0,Casual Member,24368,38139483
2021,1,Annual Member,15823,11636515
2021,1,Casual Member,16246,27110473
2021,2,Annual Member,10189,7759251
2021,2,Casual Member,11670,18857255
