pk,dim_year,dim_month,dim_user,trip_count,duration_sum
27583c62-1a73-49b1-bf41-eb494bcdbd64,2022,9,Casual Member,383916,432019759
40e740e0-55a5-435a-bd00-6122fc30c5b4,2022,2,Casual Member,20426,20778318
28e52947-2174-4bc1-bf90-9578433e6f19,2020,12,Casual Member,21991,21961528
a165b52c-f735-4d8b-b279-82c22f37f4e4,2020,7,Annual Member,258612,220719766
b888f9f8-5f2e-4e49-bc5c-d80fc2de0034,2022,11,Casual Member,215441,193711381
256a05e7-7ead-44c0-9718-69b38ed3a7ae,2019,2,Annual Member,38968,31185542
72b08802-b2bd-4234-a626-8f694a1adb85,2022,2,Annual Member,46487,30998415
799cfe45-8d32-4b65-9347-f37eeab8145f,2019,1,Annual Member,59517,42683850
fdc6b8d1-3332-4940-8138-301ad447cb1f,2021,8,Annual Member,305916,232087818
b12ba071-92d8-46aa-9775-b802701a4999,2021,6,Annual Member,296841,246201399
4ac7b1b6-550e-4874-89af-75c65fc07df8,2019,10,Casual Member,39705,90298623
f1d72c55-8175-40f7-b93f-32a6ba6a5319,2020,3,Annual Member,87905,69892732
7df32002-ec36-4320-8df5-a5da13e64376,2021,4,Annual Member,150506,122624577
0b759a87-34c8-427e-9477-369d0844384b,2020,9,Casual Member,158555,238683204
3d6342df-f4e1-4c28-9d90-64530ebf394f,2021,10,Annual Member,133789,92821558
68d702a6-0c08-4f92-832b-030fae15a18c,2022,1,Casual Member,16219,22823085
e80d6bbc-ca1f-4a2d-95b7-1f144dd93d9e,2019,12,Annual Member,77544,57488639
487e78ca-c7da-4473-aad9-d86c81a838e3,2020,2,Casual Member,9450,15716729
ac85435d-cc12-41a8-a396-9d3c8ddd2396,2020,4,Annual Member,52403,48519510
6a303c72-36dd-4dd9-9840-775f73274124,2019,3,Casual Member,5343,10632203
8d96fc83-d7e5-4a97-9e45-27cac547b0ef,2021,1,Annual Member,61125,43423284
238dac42-ad41-4466-b777-8195c58b44ea,2019,7,Annual Member,260420,202259026
6a186eb2-5d86-4241-93c1-6489f3e78379,2022,6,Annual Member,134010,95907133
c0e30572-6797-4557-914f-dc810c7acb5d,2019,11,Casual Member,9422,39196996
c02d1daa-5f3f-4b10-bafa-ef18e44d22f2,2020,2,Annual Member,85679,62162958
b5b53b77-d571-40b2-904c-81cd4b30b825,2021,2,Casual Member,5795,9123505
517d7cf0-9ed2-458b-88f5-eb131a91b72d,2022,6,Casual Member,471148,517700086
