pk,trip_count,dim_station,dim_year,dim_user
58fb9c36-b950-4b98-9043-f731fb22061d,29291,York St / Queens Quay W,2019,all
dc3a2cf0-d349-4d83-b61b-0df25ba67c90,22487,Bay St / Queens Quay W (Ferry Terminal),2019,all
68ba63f3-251e-4bd7-a5c3-5e1b48e0f881,22113,Bathurst St/Queens Quay(Billy Bishop Airport),2019,all
c9b7b2cc-e838-414d-994f-d58c43265574,19424,Union Station,2019,all
21f25ff7-736b-4887-af13-86ec77e4be2a,19179,Sherbourne St / Wellesley St E,2019,all
a98cf479-55a0-4277-a2b6-c17130545afa,18687,Bay St / College St (East Side),2019,all
2b4d47ec-03da-46fc-ab3b-06036d921e20,17177,Ontario Place Blvd / Lake Shore Blvd W (East),2019,all
a0c619ea-514e-4fc9-b987-cf0f74ad79d9,16959,Front St W / Blue Jays Way,2019,all
887e097f-31dc-4371-8494-2f04b78e226d,16942,Simcoe St / Queen St W,2019,all
e12024d4-7bcc-4c4a-8678-ce2caeb2bc3d,16884,Queen St W / Portland St,2019,all
3e9e2002-f962-4579-835b-4a58f7d216b5,30949,Queens Quay E / Lower Sherbourne St,2020,all
a589a06d-7eee-4381-946a-a9f14d218878,30459,Lake Shore Blvd W / Ontario Dr,2020,all
8d6a8f38-e320-4bd0-8c45-c090aae0b635,26571,Marilyn Bell Park Tennis Court,2020,all
4129c8bb-c57b-4b7d-805f-f944ba71488a,26129,HTO Park (Queens Quay W),2020,all
1e552e8c-6abc-43db-b9b3-97440a858c86,25727,York St / Queens Quay W,2020,all
aba7af21-e1c1-49d3-aef3-099681a01517,25685,Ontario Place Blvd / Lake Shore Blvd W (East),2020,all
c4d017e0-a4a5-4f44-a496-905f0f6348fe,22540,Bay St / Queens Quay W (Ferry Terminal),2020,all
957bad81-1839-4001-8657-918fb7049249,21021,Cherry Beach,2020,all
27f7cddf-f456-412a-8f60-03e8484ee1a6,20757,Humber Bay Shores Park West,2020,all
926a1442-2f1b-4ac2-ac5a-8c34419b866a,20227,Bathurst St/Queens Quay(Billy Bishop Airport),2020,all
cccc4f72-7509-4295-b4bb-ea9a4b77e02a,35799,York St / Queens Quay W,2021,all
ecce0e20-3139-4983-8590-214728aec581,27946,Ontario Place Blvd / Lake Shore Blvd W (East),2021,all
8fd64a5f-1b78-4f83-9aee-ba521dd4b364,27231,Bay St / Queens Quay W (Ferry Terminal),2021,all
c363bfbb-0606-418c-805b-c7bb65898463,26676,Lake Shore Blvd W / Ontario Dr,2021,all
dde9fb8c-67bd-4f42-9aed-b18a7cae256b,26614,Queens Quay E / Lower Sherbourne St,2021,all
f99b31da-836d-4328-82b0-e95ec1da9e8c,26123,HTO Park (Queens Quay W),2021,all
550f091d-1080-4465-b5eb-ec47c0cf9c5b,25726,Bathurst St/Queens Quay(Billy Bishop Airport),2021,all
6fc7cff5-5d96-4be0-a367-08968f44a56f,22678,Marilyn Bell Park Tennis Court,2021,all
21f63254-92b6-44bc-b7a3-4955c013664e,22223,Queens Quay / Yonge St,2021,all
6a997932-68b0-450f-99a8-c8e01fbe41e1,21050,Dundas St E / Regent Park Blvd,2021,all
d5f6bbbe-0164-4a48-8fb9-5bd05d7921a0,40380,York St / Queens Quay W,2022,all
f016f09f-2e4c-4427-ac37-cbfe999407a0,32420,Bay St / College St (East Side),2022,all
9f8c0934-ee5a-498c-84c0-307c6f7cc4ff,29676,Bay St / Queens Quay W (Ferry Terminal),2022,all
ff5e09cc-55b3-4f1d-bdda-e5edf76c2871,26470,HTO Park (Queens Quay W),2022,all
53eeccf5-0603-4fac-9c22-61853d917a8a,26147,Bay St / Wellesley St W,2022,all
80220682-721b-4540-9bd6-895da215b61f,26088,King St W / Brant St,2022,all
cf1a9fcf-c37f-4494-849e-b128cf9238cb,25930,Lake Shore Blvd W / Ontario Dr,2022,all
df4786e5-f01e-427d-80a9-eec71b6518f4,25837,College St / Major St,2022,all
68aede75-5339-4ac6-a8ad-8e778abd8d00,25792,Dundas St W / Yonge St,2022,all
83ef3197-6461-4f77-8003-249afb09d581,25174,Queens Quay E / Lower Sherbourne St,2022,all
